Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0000+0051,00002191+0051288,000021.93+005129.0,...,...,West2008,0:00:22,0:51:29,0.0913,0.858,M6,West2008,...,...,...,...,...,...,...,,,,,26.5 ± 30.9,24.5 ± 30.6,,,,,,16.353 ± 0.104,15.741 ± 0.137,15.406 ± 0.178,15.180 ± 0.044,14.972 ± 0.099,12.676,,,,26.05 ± 0.94,22.51 ± 0.14,20.92 ± 0.05,18.93 ± 0.03,17.97 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0000-1245,00002867-1245153,...,...,2MASS J0000286-124515,Cruz2007,0:00:29,-12:45:15,0.11945833,-12.75425,M8.5,Cruz2007,M9,Bardalez-Gagliuffi2014,,,...,...,...,,,,,,,,,,,,13.200 ± 0.023,12.445 ± 0.022,11.973 ± 0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0001-0942,00012783-0942098,000127.89-094209.6,,,West2008,0:01:28,-9:42:10,0.365981,-9.70266,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,70.1 ± 16.4,12.0 ± 16.5,,,,,,16.055 ± 0.074,15.291 ± 0.078,14.731 ± 0.093,14.636 ± 0.035,14.500 ± 0.074,12.612,,,,22.46 ± 0.40,23.98 ± 0.46,22.37 ± 0.15,19.49 ± 0.02,17.89 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0001+0033,00014419+0033079,000144.19+003307.5,,,West2008,0:01:44,0:33:08,0.434174,0.55221,M6,West2008,...,...,...,...,...,...,...,,,,,9.2 ± 16.9,-45.0 ± 13.6,,,,,,14.887 ± 0.035,14.294 ± 0.034,13.875 ± 0.051,13.732 ± 0.028,13.523 ± 0.038,12.515,,,,23.47 ± 0.71,21.99 ± 0.09,20.31 ± 0.03,17.96 ± 0.01,16.75 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0002-0041,00021832-0041290,000218.34-004129.0,,,West2008,0:02:18,23:18:30,0.576239,-0.69138,M7,West2008,...,...,...,...,...,...,...,,,,,27.3 ± 13.5,4.6 ± 14.1,,,,,,15.439 ± 0.054,14.869 ± 0.070,14.497 ± 0.089,14.288 ± 0.033,13.986 ± 0.048,12.609,,,,25.44 ± 1.28,22.92 ± 0.19,21.40 ± 0.07,18.59 ± 0.02,17.20 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0002+0044,00025625+0044317,000256.30+004431.5,,,West2008,0:02:56,0:44:32,0.734428,0.74215,M8,West2008,...,...,...,...,...,...,...,,,,,79.8 ± 24.1,-17.7 ± 24.5,,,,,,16.169 ± 0.090,15.477 ± 0.115,15.145 ± 0.130,14.972 ± 0.040,14.661 ± 0.079,12.558,,,,23.83 ± 0.41,24.38 ± 0.44,22.40 ± 0.15,19.85 ± 0.03,18.28 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0003-1040,00031859-1040309,000318.62-104031.4,,,West2008,0:03:19,-10:40:31,0.827501,-10.6753,M7,West2008,...,...,...,...,...,...,...,,,,,38.2 ± 10.7,-44.9 ± 11.1,,,,,,14.466 ± 0.028,13.803 ± 0.032,13.433 ± 0.028,13.201 ± 0.028,13.019 ± 0.031,12.105,,,,26.29 ± 0.62,21.95 ± 0.09,20.32 ± 0.04,17.81 ± 0.02,16.35 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0003-0026,00032052-0026004,000320.51-002600.4,,,West2008,0:03:21,23:33:58,0.835533,-0.43349,M6,West2008,...,...,...,...,...,...,...,,,,,-5.9 ± 17.0,-1.2 ± 19.7,,,,,,15.675 ± 0.059,14.924 ± 0.072,14.766 ± 0.098,14.597 ± 0.034,14.408 ± 0.064,12.712,,,,23.60 ± 0.90,22.40 ± 0.10,20.72 ± 0.04,18.55 ± 0.02,17.37 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0003-2822,00034227-2822410,,,2MUCD 10002,,0:03:42,-28:22:41,0.926125,-28.378056,M7.5,,M7,,Young,,,,,38.9,1.8,1.8,Shkolnik2012;Dupuy2012;Van Leeuwen2007,,,,,,,,13.068 ± 0.021,12.376 ± 0.027,11.972 ± 0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0003-0919,00035151-0919399,000351.51-091939.6,,,West2008,0:03:52,-9:19:40,0.964669,-9.32774,M6,West2008,...,...,...,...,...,...,...,,,,,8.8 ± 17.4,21.4 ± 19.5,,,,,,15.844 ± 0.060,15.178 ± 0.090,14.998 ± 0.123,14.796 ± 0.040,14.466 ± 0.065,12.713,,,,23.15 ± 0.68,22.25 ± 0.10,20.74 ± 0.04,18.60 ± 0.02,17.48 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0004-1019,00040071-1019397,000400.66-101940.2,,,West2008,0:04:01,-10:19:40,1.002953,-10.3278,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-67.1 ± 12.3,-46.9 ± 12.4,,,,,,15.098 ± 0.043,14.456 ± 0.044,14.002 ± 0.054,13.842 ± 0.028,13.679 ± 0.044,11.730 ± 0.260,,,,25.11 ± 1.17,21.74 ± 0.07,20.01 ± 0.03,17.91 ± 0.02,16.77 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0004-0042,00040476-0042520,000404.80-004251.1,,,West2008,0:04:05,23:17:07,1.019897,-0.71439,M8,West2008,...,...,...,...,...,...,...,,,,,54.2 ± 15.5,72.8 ± 18.1,,,,,,15.772 ± 0.050,15.048 ± 0.071,14.784 ± 0.094,14.474 ± 0.034,14.256 ± 0.057,12.625,,,,25.47 ± 1.20,23.81 ± 0.41,22.06 ± 0.12,19.32 ± 0.03,17.72 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
