Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0000+2554,00001354+2554180,...,000013.54+255418.6,,Knapp2004,0:00:14,25:54:18,0.0564165,25.905,...,...,T4.5,Burgasser2006,...,...,...,...,...,14.12,0.38,0.38,Dupuy2012,,,5.84 ± 19.47,130.03 ± 21.94,Jameson2008,...,...,15.063 ± 0.039,14.731 ± 0.074,14.836 ± 0.119,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,14.73 ± 0.07,38-Dupuy2012,,,,,,,,,,,,,,,X,
J0001+1535,00011217+1535355,000112.27+153533.8,000112.18+153535.5,,Knapp2004,0:01:12,15:35:36,0.300708,15.593194,...,...,L4,Knapp2004,...,...,...,...,...,...,...,...,...,135.2 ± 10.7,-169.6 ± 13.7,149.65 ± 19.26,-169.14 ± 19.14,Jameson2008,...,...,15.522 ± 0.061,14.505 ± 0.052,13.710 ± 0.043,12.938 ± 0.023,12.517 ± 0.026,11.498 ± 0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0001-0841,00013166-0841234,000131.93-084126.9,,...,Luhman2014a,0:01:32,-8:41:27,0.38304167,-8.6908056,...,...,L1 p(blue),Luhman2014a,Blue,Luhman2014a,...,...,...,...,...,...,...,342.7 ± 14.0,-298.4 ± 14.8,331 ± 14,-299 ± 14,Luhman2014a,...,...,15.712 ± 0.049,15.034 ± 0.062,14.698 ± 0.090,14.289 ± 0.033,13.962 ± 0.046,> 12.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0002+2454,00025097+2454141,000250.97+245413.7,000250.98+245413.8,,Chiu2006,0:02:51,24:54:14,0.7123755,24.903917,...,...,L5.5,Chiu2006,...,...,...,...,...,...,...,...,...,1.8 ± 22.7,-35.6 ± 29.1,...,...,,...,...,17.165 ± 0.224,16.060 ± 0.191,15.656 ± 0.217,14.788 ± 0.036,14.482 ± 0.074,> 11.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0004-6410,00040288-6410358,000402.97-641036.2,,...,Kirkpatrick2010,0:04:03,-64:10:36,1.012,-64.176611,L1 γ,Kirkpatrick2010,...,...,Young,Kirkpatrick2010,THA,Candidate,Kirkpatrick2010,...,...,...,...,64.4 ± 4.5,-47.2 ± 12.1,...,...,,-57.0 ± 50.0,Kirkpatrick2010,15.786 ± 0.071,14.831 ± 0.073,14.009 ± 0.046,13.370 ± 0.025,12.937 ± 0.027,12.178 ± 0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0004-4044,00043484-4044058,000435.47-404421.9,,GJ 1001 B,Goldman1999,0:04:35,-40:44:06,1.145166,-40.734944,L5,Kirkpatrick2001,L4.5,Knapp2004,Binary ; Companion,Golimowski2004,...,...,...,13.16,0.36,0.36,Dieterich2014,657.8 ± 6.2,-1478.8 ± 8.9,643.55 ± 3.21,-1494.31 ± 2.13,Henry2006,32.9 ± 0.2,Blake2010,13.109 ± 0.021,12.055 ± 0.025,11.396 ± 0.024,10.751 ± 0.023,10.488 ± 0.020,9.868 ± 0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,"Binary: a=0.087+/-0.006"" @ 48.1+/-5.2(+/-180) deg (Golimowski et al. 2004); BC located 18.2'' @ 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)"
J0005+3737,...,000517.48+373720.5,,WISE J000517.48+373720.5,Mace2013,0:05:17,37:37:20,1.3229134,37.6223382,...,...,T9,Mace2013,...,...,...,...,...,...,...,...,...,,,,,,,, ... , ... , ... ,16.880 ± 0.119,13.267 ± 0.031,11.990 ± 0.235,> 9.23,,,,,,,,,,,,,,15.43 ± 0.02,Mace2013,13.28 ± 0.02,Mace2013,,,,, ... , ... ,18.33 ± 0.12,Mace2013,18.10 ± 0.08,Mace2013, ... , ... ,,,,,,,,,,,,,,
J0006+1540,...,,,ULAS J000613+154021,Day-Jones2013,0:06:13,15:40:21,1.5541667,15.6725,...,...,L9,Day-Jones2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-1720,00062050-1720506,000620.46-172050.4,,2MASSI J0006205-172051,Kendall2003,0:06:21,-17:20:51,1.585416,-17.347389,L2.5,Kendall2003,L3,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-47.0 ± 9.7,15.9 ± 10.3,...,...,,...,...,15.662 ± 0.064,14.646 ± 0.059,14.010 ± 0.051,13.476 ± 0.027,13.174 ± 0.032,12.374 ± 0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0006-1319,00062287-1319503,000622.67-131955.2,,...,Luhman2014a,0:06:23,-13:19:55,1.5944583,-13.332,...,...,L5 p,Luhman2014a,Peculiar Spectrum,Luhman2014a,...,...,...,...,...,...,...,-239.2 ± 15.3,-413.2 ± 17.5,...,...,...,...,...,16.674 ± 0.125,15.548 ± 0.106,15.115 ± 0.126,14.209 ± 0.030,13.721 ± 0.042,> 12.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
